1,BATTERY JUMPSTART,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
2,AirFill,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
3,Puncture,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
4,AIR FILL,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
5,BATTERY REPLACEMENT,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
6,CABLE CUT,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
7,CHAIN ISSUE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
8,CLUTCH ISSUE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
9,CUSTODY SERVICE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
10,FUEL DELIVERY (DIESEL),A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
11,FUEL DELIVERY (PETROL),A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
12,KEY LOCKOUT,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
13,OTHER REPAIRS,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
14,PUNCTURE-TUBE TYRE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
15,PUNCTURE-TUBELESS TYRE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
16,STARTING TROUBLE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
17,Towing,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
18,NEUTRAL MODE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
19,STEPNEY CHANGE,A2Z ASSIST,1001,500,600,400,500,500,600,500,600,600,1,1
