1,AIR FILL,20-07-2023,ROS
2,BATTERY JUMPSTART,20-07-2023,ROS
3,BATTERY REPLACEMENT,20-07-2023,ROS
4,CABLE CUT,20-07-2023,ROS
5,CHAIN ISSUE,20-07-2023,ROS
6,CLUTCH ISSUE,20-07-2023,ROS
7,CUSTODY SERVICE,20-07-2023,ROS
8,FUEL DELIVERY (DIESEL),20-07-2023,ROS
9,FUEL DELIVERY (PETROL),20-07-2023,ROS
10,KEY LOCKOUT,20-07-2023,ROS
11,OTHER REPAIRS,20-07-2023,ROS
12,PUNCTURE-TUBE TYRE,20-07-2023,ROS
13,PUNCTURE-TUBELESS TYRE,20-07-2023,ROS
14,STARTING TROUBLE,20-07-2023,ROS
15,Towing,20-07-2023,TOW
16,NEUTRAL MODE,20-07-2023,ROS
17,STEPNEY CHANGE,20-07-2023,ROS
